Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          emp-region-transit-gap                        score=-261hard/0medium/0soft         matches=133
          phase-order                                   score=-5280hard/0medium/0soft        matches=365
          seat-daily-cap-12h                            score=-26654hard/0medium/0soft       matches=3285
Stage1  | t+ 3336s | total=-134291hard/0medium/-735479soft         
          block-end-within-window                       score=-1331hard/0medium/0soft        matches=133
          block-no-underfill                            score=-30040hard/0medium/0soft       matches=84
          block-overfill-at-most-one-day                score=-63454hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3370hard/0medium/0soft        matches=188
          emp-one-task-per-day                          score=-3855hard/0medium/0soft        matches=3277
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-263hard/0medium/0soft         matches=133
          phase-order                                   score=-5283hard/0medium/0soft        matches=366
          seat-daily-cap-12h                            score=-26686hard/0medium/0soft       matches=3277
Stage1  | t+ 3337s | total=-134262hard/0medium/-735479soft         
          block-end-within-window                       score=-1331hard/0medium/0soft        matches=133
          block-no-underfill                            score=-30040hard/0medium/0soft       matches=84
          block-overfill-at-most-one-day                score=-63454hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3388hard/0medium/0soft        matches=188
          emp-one-task-per-day                          score=-3853hard/0medium/0soft        matches=3282
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-262hard/0medium/0soft         matches=133
          phase-order                                   score=-5283hard/0medium/0soft        matches=366
          seat-daily-cap-12h                            score=-26642hard/0medium/0soft       matches=3282
Stage1  | t+ 3344s | total=-133579hard/0medium/-738988soft         
          block-end-within-window                       score=-1348hard/0medium/0soft        matches=131
          block-no-underfill                            score=-30200hard/0medium/0soft       matches=83
          block-overfill-at-most-one-day                score=-61934hard/0medium/0soft       matches=432
          emp-monthly-overtime-limit                    score=-3110hard/0medium/0soft        matches=172
          emp-one-task-per-day                          score=-3939hard/0medium/0soft        matches=3391
          emp-region-transit-gap                        score=-274hard/0medium/0soft         matches=124
          phase-order                                   score=-5584hard/0medium/0soft        matches=386
          seat-daily-cap-12h                            score=-27190hard/0medium/0soft       matches=3391
Stage1  | t+ 3346s | total=-133514hard/0medium/-739012soft         
          block-end-within-window                       score=-1348hard/0medium/0soft        matches=131
          block-no-underfill                            score=-30120hard/0medium/0soft       matches=82
          block-overfill-at-most-one-day                score=-61934hard/0medium/0soft       matches=432
          emp-monthly-overtime-limit                    score=-3110hard/0medium/0soft        matches=172
          emp-one-task-per-day                          score=-3941hard/0medium/0soft        matches=3392
          emp-region-transit-gap                        score=-274hard/0medium/0soft         matches=124
          phase-order                                   score=-5585hard/0medium/0soft        matches=386
          seat-daily-cap-12h                            score=-27202hard/0medium/0soft       matches=3392
Stage1  | t+ 3347s | total=-133221hard/0medium/-739022soft         
          block-end-within-window                       score=-1348hard/0medium/0soft        matches=131
          block-no-underfill                            score=-29720hard/0medium/0soft       matches=82
          block-overfill-at-most-one-day                score=-61894hard/0medium/0soft       matches=432
          emp-monthly-overtime-limit                    score=-3138hard/0medium/0soft        matches=171
          emp-one-task-per-day                          score=-3951hard/0medium/0soft        matches=3396
          emp-region-transit-gap                        score=-274hard/0medium/0soft         matches=124
          phase-order                                   score=-5596hard/0medium/0soft        matches=388
          seat-daily-cap-12h                            score=-27300hard/0medium/0soft       matches=3396
Stage1  | t+ 3349s | total=-133152hard/0medium/-739032soft         
          block-end-within-window                       score=-1348hard/0medium/0soft        matches=131
          block-no-underfill                            score=-29720hard/0medium/0soft       matches=82
          block-overfill-at-most-one-day                score=-61894hard/0medium/0soft       matches=432
          emp-monthly-overtime-limit                    score=-3138hard/0medium/0soft        matches=171
          emp-one-task-per-day                          score=-3940hard/0medium/0soft        matches=3385
          emp-region-transit-gap                        score=-274hard/0medium/0soft         matches=124
          phase-order                                   score=-5596hard/0medium/0soft        matches=388
          seat-daily-cap-12h                            score=-27242hard/0medium/0soft       matches=3385
Stage1  | t+ 3353s | total=-132777hard/0medium/-735724soft         
          block-end-within-window                       score=-1465hard/0medium/0soft        matches=133
          block-no-underfill                            score=-27980hard/0medium/0soft       matches=77
          block-overfill-at-most-one-day                score=-62384hard/0medium/0soft       matches=424
          emp-monthly-overtime-limit                    score=-2884hard/0medium/0soft        matches=166
          emp-one-task-per-day                          score=-4081hard/0medium/0soft        matches=3476
          emp-region-transit-gap                        score=-280hard/0medium/0soft         matches=125
          phase-order                                   score=-5943hard/0medium/0soft        matches=381
          seat-daily-cap-12h                            score=-27760hard/0medium/0soft       matches=3476
Stage1  | t+ 3355s | total=-132721hard/0medium/-735719soft         
          block-end-within-window                       score=-1465hard/0medium/0soft        matches=133
          block-no-underfill                            score=-27980hard/0medium/0soft       matches=77
          block-overfill-at-most-one-day                score=-62384hard/0medium/0soft       matches=424
          emp-monthly-overtime-limit                    score=-2868hard/0medium/0soft        matches=165
          emp-one-task-per-day                          score=-4079hard/0medium/0soft        matches=3478
          emp-region-transit-gap                        score=-280hard/0medium/0soft         matches=125
          phase-order                                   score=-5943hard/0medium/0soft        matches=381
          seat-daily-cap-12h                            score=-27722hard/0medium/0soft       matches=3478
Stage1  | t+ 3360s | total=-132588hard/0medium/-739630soft         
          block-end-within-window                       score=-1437hard/0medium/0soft        matches=132
          block-no-underfill                            score=-27760hard/0medium/0soft       matches=76
          block-overfill-at-most-one-day                score=-62686hard/0medium/0soft       matches=431
          emp-monthly-overtime-limit                    score=-3314hard/0medium/0soft        matches=168
          emp-one-task-per-day                          score=-3965hard/0medium/0soft        matches=3333
          emp-region-stay-max-on                        score=-31hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-271hard/0medium/0soft         matches=133
          phase-order                                   score=-5986hard/0medium/0soft        matches=401
          seat-daily-cap-12h                            score=-27138hard/0medium/0soft       matches=3333
Stage1  | t+ 3361s | total=-132582hard/0medium/-739660soft         
          block-end-within-window                       score=-1442hard/0medium/0soft        matches=133
          block-no-underfill                            score=-27760hard/0medium/0soft       matches=76
          block-overfill-at-most-one-day                score=-62686hard/0medium/0soft       matches=431
          emp-monthly-overtime-limit                    score=-3324hard/0medium/0soft        matches=168
          emp-one-task-per-day                          score=-3961hard/0medium/0soft        matches=3329
          emp-region-stay-max-on                        score=-31hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-272hard/0medium/0soft         matches=133
          phase-order                                   score=-5992hard/0medium/0soft        matches=401
          seat-daily-cap-12h                            score=-27114hard/0medium/0soft       matches=3329
Stage1  | t+ 3363s | total=-132335hard/0medium/-739750soft         
          block-end-within-window                       score=-1442hard/0medium/0soft        matches=133
          block-no-underfill                            score=-27460hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62716hard/0medium/0soft       matches=432
          emp-monthly-overtime-limit                    score=-3336hard/0medium/0soft        matches=168
          emp-one-task-per-day                          score=-3962hard/0medium/0soft        matches=3330
          emp-region-stay-max-on                        score=-31hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-272hard/0medium/0soft         matches=133
          phase-order                                   score=-5992hard/0medium/0soft        matches=401
          seat-daily-cap-12h                            score=-27124hard/0medium/0soft       matches=3330
Stage1  | t+ 3365s | total=-132262hard/0medium/-747379soft         
          block-end-within-window                       score=-1439hard/0medium/0soft        matches=135
          block-no-underfill                            score=-28240hard/0medium/0soft       matches=76
          block-overfill-at-most-one-day                score=-62732hard/0medium/0soft       matches=434
          emp-monthly-overtime-limit                    score=-3288hard/0medium/0soft        matches=171
          emp-one-task-per-day                          score=-3843hard/0medium/0soft        matches=3259
          emp-region-stay-max-on                        score=-13hard/0medium/0soft          matches=1
          emp-region-transit-gap                        score=-266hard/0medium/0soft         matches=129
          phase-order                                   score=-6045hard/0medium/0soft        matches=401
          seat-daily-cap-12h                            score=-26396hard/0medium/0soft       matches=3259
Stage1  | t+ 3369s | total=-132251hard/0medium/-746809soft         
          block-end-within-window                       score=-1469hard/0medium/0soft        matches=132
          block-no-underfill                            score=-28880hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-61572hard/0medium/0soft       matches=436
          emp-monthly-overtime-limit                    score=-3118hard/0medium/0soft        matches=171
          emp-one-task-per-day                          score=-3922hard/0medium/0soft        matches=3209
          emp-region-transit-gap                        score=-259hard/0medium/0soft         matches=131
          phase-order                                   score=-6029hard/0medium/0soft        matches=387
          seat-daily-cap-12h                            score=-27002hard/0medium/0soft       matches=3209
Stage1  | t+ 3370s | total=-130563hard/0medium/-745837soft         
          block-end-within-window                       score=-1441hard/0medium/0soft        matches=131
          block-no-underfill                            score=-28880hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-60624hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-2898hard/0medium/0soft        matches=168
          emp-one-task-per-day                          score=-3872hard/0medium/0soft        matches=3168
          emp-region-transit-gap                        score=-257hard/0medium/0soft         matches=131
          phase-order                                   score=-6029hard/0medium/0soft        matches=387
          seat-daily-cap-12h                            score=-26562hard/0medium/0soft       matches=3168
Stage1  | t+ 3380s | total=-130330hard/0medium/-738921soft         
          block-end-within-window                       score=-1265hard/0medium/0soft        matches=126
          block-no-underfill                            score=-29960hard/0medium/0soft       matches=83
          block-overfill-at-most-one-day                score=-60772hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-3314hard/0medium/0soft        matches=201
          emp-one-task-per-day                          score=-3682hard/0medium/0soft        matches=3208
          emp-region-transit-gap                        score=-268hard/0medium/0soft         matches=129
          phase-order                                   score=-5531hard/0medium/0soft        matches=389
          seat-daily-cap-12h                            score=-25538hard/0medium/0soft       matches=3208
Stage1  | t+ 3382s | total=-130093hard/0medium/-738741soft         
          block-end-within-window                       score=-1265hard/0medium/0soft        matches=126
          block-no-underfill                            score=-29960hard/0medium/0soft       matches=83
          block-overfill-at-most-one-day                score=-60572hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-3282hard/0medium/0soft        matches=200
          emp-one-task-per-day                          score=-3679hard/0medium/0soft        matches=3200
          emp-region-transit-gap                        score=-268hard/0medium/0soft         matches=129
          phase-order                                   score=-5531hard/0medium/0soft        matches=389
          seat-daily-cap-12h                            score=-25536hard/0medium/0soft       matches=3200
Stage1  | t+ 3384s | total=-130015hard/0medium/-738744soft         
          block-end-within-window                       score=-1273hard/0medium/0soft        matches=127
          block-no-underfill                            score=-29960hard/0medium/0soft       matches=83
          block-overfill-at-most-one-day                score=-60542hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-3282hard/0medium/0soft        matches=200
          emp-one-task-per-day                          score=-3674hard/0medium/0soft        matches=3195
          emp-region-transit-gap                        score=-268hard/0medium/0soft         matches=129
          phase-order                                   score=-5510hard/0medium/0soft        matches=388
          seat-daily-cap-12h                            score=-25506hard/0medium/0soft       matches=3195
Stage1  | t+ 3391s | total=-129966hard/0medium/-751793soft         
          block-end-within-window                       score=-1212hard/0medium/0soft        matches=128
          block-no-underfill                            score=-26660hard/0medium/0soft       matches=78
          block-overfill-at-most-one-day                score=-61706hard/0medium/0soft       matches=430
          emp-monthly-overtime-limit                    score=-3712hard/0medium/0soft        matches=210
          emp-one-task-per-day                          score=-3770hard/0medium/0soft        matches=3161
          emp-region-stay-max-on                        score=-5hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-249hard/0medium/0soft         matches=122
          phase-order                                   score=-5578hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-27074hard/0medium/0soft       matches=3161
Stage1  | t+ 3392s | total=-129953hard/0medium/-751940soft         
          block-end-within-window                       score=-1212hard/0medium/0soft        matches=128
          block-no-underfill                            score=-26740hard/0medium/0soft       matches=78
          block-overfill-at-most-one-day                score=-61670hard/0medium/0soft       matches=431
          emp-monthly-overtime-limit                    score=-3712hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3762hard/0medium/0soft        matches=3157
          emp-region-stay-max-on                        score=-5hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-247hard/0medium/0soft         matches=121
          phase-order                                   score=-5575hard/0medium/0soft        matches=392
          seat-daily-cap-12h                            score=-27030hard/0medium/0soft       matches=3157
Stage1  | t+ 3394s | total=-129592hard/0medium/-752617soft         
          block-end-within-window                       score=-1218hard/0medium/0soft        matches=130
          block-no-underfill                            score=-25460hard/0medium/0soft       matches=77
          block-overfill-at-most-one-day                score=-62158hard/0medium/0soft       matches=430
          emp-monthly-overtime-limit                    score=-3682hard/0medium/0soft        matches=213
          emp-one-task-per-day                          score=-3811hard/0medium/0soft        matches=3199
          emp-region-stay-max-on                        score=-5hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-253hard/0medium/0soft         matches=126
          phase-order                                   score=-5563hard/0medium/0soft        matches=388
          seat-daily-cap-12h                            score=-27442hard/0medium/0soft       matches=3199
Stage1  | t+ 3397s | total=-129497hard/0medium/-752158soft         
          block-end-within-window                       score=-1284hard/0medium/0soft        matches=130
          block-no-underfill                            score=-23200hard/0medium/0soft       matches=71
          block-overfill-at-most-one-day                score=-64748hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3754hard/0medium/0soft        matches=220
          emp-one-task-per-day                          score=-3793hard/0medium/0soft        matches=3220
          emp-region-stay-max-on                        score=-27hard/0medium/0soft          matches=3
          emp-region-transit-gap                        score=-258hard/0medium/0soft         matches=133
          phase-order                                   score=-5469hard/0medium/0soft        matches=387
          seat-daily-cap-12h                            score=-26964hard/0medium/0soft       matches=3220
Stage1  | t+ 3401s | total=-129466hard/0medium/-754307soft         
          block-end-within-window                       score=-1383hard/0medium/0soft        matches=141
          block-no-underfill                            score=-23800hard/0medium/0soft       matches=73
          block-overfill-at-most-one-day                score=-63728hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-3564hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3863hard/0medium/0soft        matches=3294
          emp-region-transit-gap                        score=-264hard/0medium/0soft         matches=122
          phase-order                                   score=-5442hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-27422hard/0medium/0soft       matches=3294
Stage1  | t+ 3402s | total=-129455hard/0medium/-754621soft         
          block-end-within-window                       score=-1383hard/0medium/0soft        matches=141
          block-no-underfill                            score=-23800hard/0medium/0soft       matches=73
          block-overfill-at-most-one-day                score=-63728hard/0medium/0soft       matches=435
          emp-monthly-overtime-limit                    score=-3558hard/0medium/0soft        matches=209
          emp-one-task-per-day                          score=-3862hard/0medium/0soft        matches=3289
          emp-region-transit-gap                        score=-264hard/0medium/0soft         matches=122
          phase-order                                   score=-5442hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-27418hard/0medium/0soft       matches=3289
Stage1  | t+ 3406s | total=-129353hard/0medium/-741614soft         
          block-end-within-window                       score=-1331hard/0medium/0soft        matches=135
          block-no-underfill                            score=-23880hard/0medium/0soft       matches=79
          block-overfill-at-most-one-day                score=-63218hard/0medium/0soft       matches=428
          emp-monthly-overtime-limit                    score=-3964hard/0medium/0soft        matches=212
          emp-one-task-per-day                          score=-3820hard/0medium/0soft        matches=3318
          emp-region-transit-gap                        score=-261hard/0medium/0soft         matches=130
          phase-order                                   score=-5557hard/0medium/0soft        matches=402
          seat-daily-cap-12h                            score=-27322hard/0medium/0soft       matches=3318
Stage1  | t+ 3407s | total=-129291hard/0medium/-741935soft         
          block-end-within-window                       score=-1331hard/0medium/0soft        matches=135
          block-no-underfill                            score=-23880hard/0medium/0soft       matches=79
          block-overfill-at-most-one-day                score=-63218hard/0medium/0soft       matches=428
          emp-monthly-overtime-limit                    score=-3960hard/0medium/0soft        matches=212
          emp-one-task-per-day                          score=-3815hard/0medium/0soft        matches=3311
          emp-region-transit-gap                        score=-260hard/0medium/0soft         matches=130
          phase-order                                   score=-5557hard/0medium/0soft        matches=402
          seat-daily-cap-12h                            score=-27270hard/0medium/0soft       matches=3311
Stage1  | t+ 3411s | total=-128972hard/0medium/-748518soft         
          block-end-within-window                       score=-1271hard/0medium/0soft        matches=133
          block-no-underfill                            score=-23340hard/0medium/0soft       matches=81
          block-overfill-at-most-one-day                score=-63352hard/0medium/0soft       matches=433
          emp-monthly-overtime-limit                    score=-3752hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3883hard/0medium/0soft        matches=3392
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-253hard/0medium/0soft         matches=122
          phase-order                                   score=-5598hard/0medium/0soft        matches=397
          seat-daily-cap-12h                            score=-27522hard/0medium/0soft       matches=3392
Stage1  | t+ 3412s | total=-128813hard/0medium/-749047soft         
          block-end-within-window                       score=-1271hard/0medium/0soft        matches=133
          block-no-underfill                            score=-23340hard/0medium/0soft       matches=81
          block-overfill-at-most-one-day                score=-63352hard/0medium/0soft       matches=433
          emp-monthly-overtime-limit                    score=-3716hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3873hard/0medium/0soft        matches=3390
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-252hard/0medium/0soft         matches=122
          phase-order                                   score=-5598hard/0medium/0soft        matches=397
          seat-daily-cap-12h                            score=-27410hard/0medium/0soft       matches=3390
Stage1  | t+ 3416s | total=-128692hard/0medium/-742708soft         
          block-end-within-window                       score=-1263hard/0medium/0soft        matches=121
          block-no-underfill                            score=-26180hard/0medium/0soft       matches=84
          block-overfill-at-most-one-day                score=-61736hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3940hard/0medium/0soft        matches=193
          emp-one-task-per-day                          score=-3732hard/0medium/0soft        matches=3276
          emp-region-stay-max-on                        score=-12hard/0medium/0soft          matches=1
          emp-region-transit-gap                        score=-238hard/0medium/0soft         matches=122
          phase-order                                   score=-5417hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-26174hard/0medium/0soft       matches=3276
Stage1  | t+ 3418s | total=-128641hard/0medium/-743244soft         
          block-end-within-window                       score=-1263hard/0medium/0soft        matches=121
          block-no-underfill                            score=-26180hard/0medium/0soft       matches=84
          block-overfill-at-most-one-day                score=-61736hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3940hard/0medium/0soft        matches=193
          emp-one-task-per-day                          score=-3725hard/0medium/0soft        matches=3269
          emp-region-stay-max-on                        score=-12hard/0medium/0soft          matches=1
          emp-region-transit-gap                        score=-236hard/0medium/0soft         matches=122
          phase-order                                   score=-5417hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-26132hard/0medium/0soft       matches=3269
Stage1  | t+ 3419s | total=-128584hard/0medium/-743159soft         
          block-end-within-window                       score=-1263hard/0medium/0soft        matches=121
          block-no-underfill                            score=-26180hard/0medium/0soft       matches=84
          block-overfill-at-most-one-day                score=-61682hard/0medium/0soft       matches=427
          emp-monthly-overtime-limit                    score=-3924hard/0medium/0soft        matches=192
          emp-one-task-per-day                          score=-3731hard/0medium/0soft        matches=3275
          emp-region-stay-max-on                        score=-12hard/0medium/0soft          matches=1
          emp-region-transit-gap                        score=-237hard/0medium/0soft         matches=123
          phase-order                                   score=-5417hard/0medium/0soft        matches=393
          seat-daily-cap-12h                            score=-26138hard/0medium/0soft       matches=3275
Stage1  | t+ 3423s | total=-128453hard/0medium/-733104soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62288hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4062hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3761hard/0medium/0soft        matches=3206
          emp-region-transit-gap                        score=-249hard/0medium/0soft         matches=121
          phase-order                                   score=-5669hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26968hard/0medium/0soft       matches=3206
Stage1  | t+ 3425s | total=-128436hard/0medium/-732450soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62288hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4054hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3761hard/0medium/0soft        matches=3208
          emp-region-transit-gap                        score=-248hard/0medium/0soft         matches=121
          phase-order                                   score=-5669hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26960hard/0medium/0soft       matches=3208
Stage1  | t+ 3426s | total=-128426hard/0medium/-732426soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62262hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4074hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3761hard/0medium/0soft        matches=3208
          emp-region-transit-gap                        score=-248hard/0medium/0soft         matches=121
          phase-order                                   score=-5669hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26956hard/0medium/0soft       matches=3208
Stage1  | t+ 3428s | total=-128411hard/0medium/-732442soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62286hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4074hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3754hard/0medium/0soft        matches=3200
          emp-region-transit-gap                        score=-246hard/0medium/0soft         matches=121
          phase-order                                   score=-5677hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26918hard/0medium/0soft       matches=3200
Stage1  | t+ 3429s | total=-128358hard/0medium/-732506soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62286hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4066hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3749hard/0medium/0soft        matches=3195
          emp-region-transit-gap                        score=-246hard/0medium/0soft         matches=121
          phase-order                                   score=-5677hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26878hard/0medium/0soft       matches=3195
Stage1  | t+ 3430s | total=-128301hard/0medium/-732479soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62286hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4066hard/0medium/0soft        matches=207
          emp-one-task-per-day                          score=-3739hard/0medium/0soft        matches=3181
          emp-region-transit-gap                        score=-247hard/0medium/0soft         matches=122
          phase-order                                   score=-5677hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26830hard/0medium/0soft       matches=3181
Stage1  | t+ 3432s | total=-128275hard/0medium/-733059soft         
          block-end-within-window                       score=-1376hard/0medium/0soft        matches=126
          block-no-underfill                            score=-24080hard/0medium/0soft       matches=75
          block-overfill-at-most-one-day                score=-62286hard/0medium/0soft       matches=437
          emp-monthly-overtime-limit                    score=-4062hard/0medium/0soft        matches=207
          emp-one-task-per-day                          score=-3735hard/0medium/0soft        matches=3178
          emp-region-transit-gap                        score=-247hard/0medium/0soft         matches=123
          phase-order                                   score=-5677hard/0medium/0soft        matches=394
          seat-daily-cap-12h                            score=-26812hard/0medium/0soft       matches=3178
Stage1  | t+ 3436s | total=-128267hard/0medium/-732445soft         
          block-end-within-window                       score=-1296hard/0medium/0soft        matches=130
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-61112hard/0medium/0soft       matches=444
          emp-monthly-overtime-limit                    score=-4088hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3662hard/0medium/0soft        matches=3164
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-244hard/0medium/0soft         matches=128
          phase-order                                   score=-5614hard/0medium/0soft        matches=392
          seat-daily-cap-12h                            score=-26890hard/0medium/0soft       matches=3164
Stage1  | t+ 3438s | total=-128225hard/0medium/-732510soft         
          block-end-within-window                       score=-1296hard/0medium/0soft        matches=130
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-61112hard/0medium/0soft       matches=444
          emp-monthly-overtime-limit                    score=-4088hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3656hard/0medium/0soft        matches=3158
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-244hard/0medium/0soft         matches=128
          phase-order                                   score=-5614hard/0medium/0soft        matches=392
          seat-daily-cap-12h                            score=-26854hard/0medium/0soft       matches=3158
Stage1  | t+ 3440s | total=-128179hard/0medium/-732148soft         
          block-end-within-window                       score=-1296hard/0medium/0soft        matches=130
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-61112hard/0medium/0soft       matches=444
          emp-monthly-overtime-limit                    score=-4088hard/0medium/0soft        matches=211
          emp-one-task-per-day                          score=-3651hard/0medium/0soft        matches=3153
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-243hard/0medium/0soft         matches=128
          phase-order                                   score=-5614hard/0medium/0soft        matches=392
          seat-daily-cap-12h                            score=-26814hard/0medium/0soft       matches=3153
Stage1  | t+ 3441s | total=-128138hard/0medium/-732577soft         
          block-end-within-window                       score=-1300hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-61012hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4086hard/0medium/0soft        matches=209
          emp-one-task-per-day                          score=-3647hard/0medium/0soft        matches=3138
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-241hard/0medium/0soft         matches=128
          phase-order                                   score=-5629hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26862hard/0medium/0soft       matches=3138
Stage1  | t+ 3443s | total=-127818hard/0medium/-732277soft         
          block-end-within-window                       score=-1288hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-60712hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4078hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3647hard/0medium/0soft        matches=3138
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-241hard/0medium/0soft         matches=128
          phase-order                                   score=-5629hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26862hard/0medium/0soft       matches=3138
Stage1  | t+ 3444s | total=-127756hard/0medium/-732215soft         
          block-end-within-window                       score=-1288hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-60712hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4078hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3640hard/0medium/0soft        matches=3131
          emp-region-stay-max-on                        score=-1hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-242hard/0medium/0soft         matches=129
          phase-order                                   score=-5629hard/0medium/0soft        matches=395
          seat-daily-cap-12h                            score=-26806hard/0medium/0soft       matches=3131
Stage1  | t+ 3446s | total=-127653hard/0medium/-732119soft         
          block-end-within-window                       score=-1283hard/0medium/0soft        matches=129
          block-no-underfill                            score=-25360hard/0medium/0soft       matches=80
          block-overfill-at-most-one-day                score=-60624hard/0medium/0soft       matches=443
          emp-monthly-overtime-limit                    score=-4078hard/0medium/0soft        matches=208
          emp-one-task-per-day                          score=-3640hard/0medium/0soft        matches=3131
